Query,Landing Page,Clicks,Impressions,CTR,Position
ai receptionist,https://aimanjack.com/ai-receptionist/,42,1830,2.3%,8.4
ai receptionist,https://aimanjack.com/,11,910,1.2%,12.1
ai receptionist,https://aimanjack.com/pricing/,0,96,0%,31.5
ai receptionist pricing,https://aimanjack.com/pricing/,9,410,2.2%,9.9
ai receptionist pricing,https://aimanjack.com/ai-receptionist/,6,380,1.6%,10.3
ai receptionist for salons,https://aimanjack.com/industries/salons/,7,220,3.2%,7.1
ai receptionist for salons,https://aimanjack.com/ai-receptionist/,1,40,2.5%,18.2
ai training dallas,https://aimanjack.com/ai-training/,15,300,5.0%,4.2
ai training dallas,https://aimanjack.com/about/,0,12,0%,44.0
ai 前台,https://aimanjack.com/zh/ai-receptionist/,3,140,2.1%,14.0
ai 前台,https://aimanjack.com/zh/,2,120,1.7%,15.5
ai 前台 价格,https://aimanjack.com/zh/pricing/,1,60,1.7%,11.0
ai receptionist,https://aimanjack.com/zh/ai-receptionist/,0,30,0%,25.0
sms terms,https://aimanjack.com/sms-terms,0,8,0%,3.0
