keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
ai training for sales,-1,800,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,root,0.6,pillar,ai training for sales,existing,root|google_autocomplete,0,,100.0,,,,en,ai training for sales
ai training for sales professionals,-1,210,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,0,,54.0,,,,en,ai training for sales
ai training for sales people,-1,170,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,2,,50.0,,,,en,ai training for sales
ai training for sales teams,-1,160,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,3,,48.0,,,,en,ai training for sales
ai training for sales and marketing,-1,140,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,4,,46.0,,,,en,ai training for sales
ai training for sales reps,-1,130,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,5,,44.0,,,,en,ai training for sales
ai training for sales managers,-1,120,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,6,,42.0,,,,en,ai training for sales
free ai training for sales,-1,110,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,0,free,41.0,,,,en,ai training for sales
best ai training for sales,-1,110,commercial,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,0,best,41.0,,,,en,ai training for sales
ai training course for sales,-1,110,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.85,satellite,ai training for sales,existing,google_autocomplete,0,course,41.0,,,,en,ai training for sales
ai training for salesforce,-1,110,informational,ai-training-for-salesforce,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for salesforce,existing,google_autocomplete,7,,40.0,,,,en,ai training for sales
best ai courses for sales professionals,-1,100,commercial,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,1,best,39.0,,,,en,ai training for sales
free ai courses for sales professionals,-1,100,commercial,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,1,free,39.0,,,,en,ai training for sales
ai training for sales leaders,-1,95,informational,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,8,,38.0,,,,en,ai training for sales
how to use ai in sales,-1,90,informational,how-to-use-ai-in-sales,/integrations/,n/a,10-100,heuristic,0.6,pillar,how to use ai in sales,existing,google_autocomplete,2,best,37.0,,,,en,ai training for sales
ai courses for sales professionals,-1,85,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,9,,36.0,,,,en,ai training for sales
free ai courses for sales,-1,79,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,3,free,35.0,,,,en,ai training for sales
using ai to increase sales,-1,79,commercial,using-ai-to-increase-sales,/integrations/,n/a,10-100,heuristic,0.3,pillar,using ai to increase sales,existing,google_autocomplete,3,best,35.0,,,,en,ai training for sales
ai courses in sales,-1,75,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,0,i,34.0,,,,en,ai training for sales
ai training voor sales,-1,75,informational,ai-training-voor-sales,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training voor sales,existing,google_autocomplete,0,v,34.0,,,,en,ai training for sales
ai training data for sale,-1,75,informational,ai-training-data-for-sale,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training data for sale,existing,google_autocomplete,0,d,34.0,,,,en,ai training for sales
using ai for sales training,-1,75,informational,using-ai-to-increase-sales,/ai-training/,n/a,10-100,heuristic,0.6,satellite,using ai to increase sales,existing,google_autocomplete,0,u,34.0,,,,en,ai training for sales
ai courses for sales operations,-1,75,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,0,o,34.0,,,,en,ai training for sales
ai enabled sales training for franchisees,-1,75,informational,ai-enabled-sales-training-for-franchisees,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai enabled sales training for franchisees,existing,google_autocomplete,0,e,34.0,,,,en,ai training for sales
best ai courses for sales,-1,70,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for sales,existing,google_autocomplete,4,best,33.0,,,,en,ai training for sales
ai training data sell,-1,65,informational,ai-training-data-for-sale,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training data for sale,existing,google_autocomplete,1,d,32.0,,,,en,ai training for sales
ai courses for sales leaders,-1,65,commercial,ai-training-for-sales,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai training for sales,existing,google_autocomplete,1,l,32.0,,,,en,ai training for sales
ai chatbot for sales training,-1,65,informational,ai-chatbot-for-sales-training,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai chatbot for sales training,existing,google_autocomplete,1,c,32.0,,,,en,ai training for sales
