keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
ai training for teams,-1,800,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,root,0.6,pillar,ai training for teams,existing,root|google_autocomplete|bing_suggest,0,,100.0,,,,en,ai training for teams
ai training for companies,-1,320,commercial,ai-training-for-companies,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for companies,existing,google_autocomplete|bing_suggest,0,,66.0,,,,en,ai training for teams
ai training for employees,-1,320,informational,ai-training-for-employees,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for employees,existing,google_autocomplete|bing_suggest,0,,66.0,,,,en,ai training for teams
ai training for sales teams,-1,280,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete|bing_suggest,2,,62.0,,,,en,ai training for teams
ai training for professionals,-1,280,informational,ai-training-for-professionals,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for professionals,existing,google_autocomplete|bing_suggest,2,,62.0,,,,en,ai training for teams
ai training for staff,-1,260,informational,ai-training-for-staff,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for staff,existing,google_autocomplete|bing_suggest,3,,60.0,,,,en,ai training for teams
ai training for schools,-1,240,informational,ai-training-for-schools,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for schools,existing,google_autocomplete|bing_suggest,4,,58.0,,,,en,ai training for teams
ai training near me,-1,200,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training near me,existing,google_autocomplete|bing_suggest,0,near me,53.0,,,,en,ai training for teams
ai training for free,-1,200,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete|bing_suggest,0,free,53.0,,,,en,ai training for teams
ai training for nurses,-1,200,informational,ai-training-for-nurses,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for nurses,existing,google_autocomplete|bing_suggest,0,for clinic,53.0,,,,en,ai training for teams
ai training for lawyers,-1,200,informational,ai-training-for-lawyers,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for lawyers,existing,google_autocomplete|bing_suggest,0,for salon,53.0,,,,en,ai training for teams
ai training for software developers,-1,200,commercial,ai-training-for-software-developers,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for software developers,existing,google_autocomplete|bing_suggest,0,software,53.0,,,,en,ai training for teams
ai training for small business owners,-1,200,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for small business owners,existing,google_autocomplete|bing_suggest,0,for small business,53.0,,,,en,ai training for teams
ai training for teens,-1,190,informational,ai-training-for-teens,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for teens,existing,bing_suggest,1,,52.0,,,,en,ai training for teams
ai training for marketing teams,-1,190,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete,1,,52.0,,,,en,ai training for teams
ai training for money,-1,180,informational,ai-training-for-money,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for money,existing,google_autocomplete|bing_suggest,1,pricing,51.0,,,,en,ai training for teams
ai training for doctors,-1,180,informational,ai-training-for-doctors,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for doctors,existing,google_autocomplete|bing_suggest,1,for dental office,51.0,,,,en,ai training for teams
ai training for business,-1,180,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete|bing_suggest,1,for small business,51.0,,,,en,ai training for teams
copilot teams ai training,-1,170,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,bing_suggest,2,,50.0,,,,en,ai training for teams
ai training for designers,-1,170,informational,ai-training-for-designers,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for designers,existing,google_autocomplete|bing_suggest,2,for salon,49.0,,,,en,ai training for teams
ai training for workplace,-1,170,informational,ai-training-for-workplace,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for workplace,existing,google_autocomplete|bing_suggest,2,for salon,49.0,,,,en,ai training for teams
ai training for business leaders,-1,170,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete|bing_suggest,2,for small business,49.0,,,,en,ai training for teams
ai training for healthcare professionals,-1,170,informational,ai-training-for-professionals,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for professionals,existing,google_autocomplete|bing_suggest,2,for dental office,49.0,,,,en,ai training for teams
ai training for finance teams,-1,160,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete,3,,48.0,,,,en,ai training for teams
ai training for physicians,-1,150,informational,ai-training-for-physicians,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for physicians,existing,google_autocomplete|bing_suggest,3,for clinic,47.0,,,,en,ai training for teams
ai training for legal professionals,-1,150,informational,ai-training-for-professionals,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for professionals,existing,google_autocomplete|bing_suggest,3,for salon,47.0,,,,en,ai training for teams
ai training for business professionals,-1,150,informational,ai-training-for-professionals,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for professionals,existing,google_autocomplete|bing_suggest,3,for small business,47.0,,,,en,ai training for teams
ai training for hr teams,-1,140,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete,4,,46.0,,,,en,ai training for teams
ai training for teachers,-1,140,informational,ai-training-for-teachers,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for teachers,existing,google_autocomplete|bing_suggest,0,t,46.0,,,,en,ai training for teams
ai training for veterans,-1,140,informational,ai-training-for-veterans,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for veterans,existing,google_autocomplete|bing_suggest,0,v,46.0,,,,en,ai training for teams
ai training for developers,-1,140,informational,ai-training-for-software-developers,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for software developers,existing,google_autocomplete|bing_suggest,0,d,46.0,,,,en,ai training for teams
free ai training tools for teams,-1,140,commercial,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,bing_suggest,4,,46.0,,,,en,ai training for teams
ai training for government employees,-1,140,informational,ai-training-for-employees,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for employees,existing,google_autocomplete|bing_suggest,0,g,46.0,,,,en,ai training for teams
ai training for leaders,-1,130,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete|bing_suggest,1,l,44.0,,,,en,ai training for teams
ai training for recruiters,-1,130,informational,ai-training-for-recruiters,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for recruiters,existing,google_autocomplete|bing_suggest,1,r,44.0,,,,en,ai training for teams
ai training for creative teams,-1,130,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete,5,,44.0,,,,en,ai training for teams
ai training for managers,-1,120,informational,ai-training-for-managers,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for managers,existing,google_autocomplete|bing_suggest,2,m,42.0,,,,en,ai training for teams
ai training for corporates,-1,120,informational,ai-training-for-corporates,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for corporates,existing,google_autocomplete|bing_suggest,2,c,42.0,,,,en,ai training for teams
ai training for leadership,-1,120,informational,ai-training-for-leadership,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for leadership,existing,google_autocomplete|bing_suggest,2,l,42.0,,,,en,ai training for teams
ai training for legal teams,-1,120,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,google_autocomplete,6,,42.0,,,,en,ai training for teams
ai tools for teams,-1,110,commercial,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,bing_suggest,0,software,41.0,,,,en,ai training for teams
cost of ai training,-1,110,transactional,cost-of-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,cost of ai training,existing,bing_suggest,0,pricing,41.0,,,,en,ai training for teams
ai training in texas,-1,110,informational,ai-training-in-texas,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training in texas,existing,google_autocomplete,0,texas,41.0,,,,en,ai training for teams
best training for ai,-1,110,commercial,best-training-for-ai,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,best training for ai,existing,bing_suggest,0,best,41.0,,,,en,ai training for teams
ai training for sales,-1,110,informational,ai-training-for-sales,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for sales,existing,google_autocomplete|bing_suggest,6,pricing,41.0,,,,en,ai training for teams
ai online training reviews,-1,110,commercial,ai-online-training-reviews,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai online training reviews,existing,bing_suggest,0,reviews,41.0,,,,en,ai training for teams
ai training for kids near me,-1,110,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training near me,existing,google_autocomplete,0,near me,41.0,,,,en,ai training for teams
ai training for small business,-1,110,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,for small business,41.0,,,,en,ai training for teams
ai training for my team,-1,110,informational,ai-training-for-my-team,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for my team,existing,google_autocomplete,7,,40.0,,,,en,ai training for teams
ai training for educators,-1,110,informational,ai-training-for-educators,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for educators,existing,google_autocomplete|bing_suggest,3,e,40.0,,,,en,ai training for teams
teams ai training,-1,100,informational,ai-training-for-teams,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for teams,existing,bing_suggest,1,how to,39.0,,,,en,ai training for teams
best ai for work teams,-1,100,commercial,best-training-for-ai,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,best training for ai,existing,bing_suggest,1,reviews,39.0,,,,en,ai training for teams
ai training for free online,-1,100,informational,ai-online-training-reviews,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai online training reviews,existing,google_autocomplete,1,free,39.0,,,,en,ai training for teams
ai training vs ai inference,-1,100,commercial,ai-training-vs-ai-inference,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training vs ai inference,existing,bing_suggest,1,vs,39.0,,,,en,ai training for teams
ai training courses near me,-1,100,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training near me,existing,bing_suggest,1,near me,39.0,,,,en,ai training for teams
how much does ai training cost,-1,100,transactional,cost-of-ai-training,/ai-training/,n/a,100-1k,heuristic,0.65,satellite,cost of ai training,existing,bing_suggest,1,pricing,39.0,,,,en,ai training for teams
ai training for seniors near me,-1,100,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training near me,existing,google_autocomplete,1,near me,39.0,,,,en,ai training for teams
ai training for business owners,-1,100,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete|bing_suggest,7,for small business,39.0,,,,en,ai training for teams
ai training for software engineer,-1,100,commercial,ai-training-for-software-engineer,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for software engineer,existing,google_autocomplete,1,software,39.0,,,,en,ai training for teams
ai training for medical professionals,-1,100,commercial,ai-training-for-professionals,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for professionals,existing,google_autocomplete|bing_suggest,7,for dental office,39.0,,,,en,ai training for teams
