keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
ai workshop dallas,-1,800,commercial,ai-workshop-dallas,/ai-training/,n/a,100-1k,root,0.3,pillar,ai workshop dallas,existing,root|google_autocomplete,0,,100.0,,,,en,ai workshop dallas
ai training in dallas,-1,200,informational,ai-workshop-dallas,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai workshop dallas,existing,google_autocomplete|bing_suggest,0,pricing,53.0,,,,en,ai workshop dallas
ai classes dallas,-1,190,commercial,ai-classes-dallas,/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai classes dallas,existing,google_autocomplete,1,,52.0,,,,en,ai workshop dallas
ai classes in dallas,-1,180,commercial,ai-classes-dallas,/ai-training/,n/a,100-1k,heuristic,0.3,satellite,ai classes dallas,existing,google_autocomplete|bing_suggest,1,pricing,51.0,,,,en,ai workshop dallas
ai training dallas,-1,170,informational,ai-workshop-dallas,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai workshop dallas,existing,google_autocomplete,2,,50.0,,,,en,ai workshop dallas
ai classes dallas college,-1,160,commercial,ai-classes-dallas,/ai-training/,n/a,100-1k,heuristic,0.3,satellite,ai classes dallas,existing,google_autocomplete,3,,48.0,,,,en,ai workshop dallas
ai conference dallas texas,-1,110,commercial,ai-conference-dallas-texas,/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai conference dallas texas,existing,google_autocomplete,0,texas,41.0,,,,en,ai workshop dallas
ai workshop near me,-1,90,transactional,ai-workshop-near-me,/ai-receptionist/,n/a,10-100,heuristic,0.6,pillar,ai workshop near me,existing,bing_suggest,2,pricing,37.0,,,,en,ai workshop dallas
what is ai workshop,-1,79,informational,ai-workshop-dallas,/ai-training/,n/a,10-100,heuristic,0.85,satellite,ai workshop dallas,existing,bing_suggest,3,software,35.0,,,,en,ai workshop dallas
ai conference in dallas,-1,79,commercial,ai-conference-dallas-texas,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai conference dallas texas,existing,bing_suggest,3,pricing,35.0,,,,en,ai workshop dallas
ut dallas ai workshop,-1,75,commercial,ai-workshop-dallas,/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai workshop dallas,existing,google_autocomplete,0,u,34.0,,,,en,ai workshop dallas
ai workshops in dallas,-1,75,commercial,ai-workshops-in-dallas,/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai workshops in dallas,existing,google_autocomplete,0,i,34.0,,,,en,ai workshop dallas
what is an ai workshop,-1,70,informational,ai-workshop-dallas,/ai-training/,n/a,10-100,heuristic,0.85,satellite,ai workshop dallas,existing,bing_suggest,4,pricing,33.0,,,,en,ai workshop dallas
ai marketing world dallas,-1,61,commercial,ai-marketing-world-dallas,/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai marketing world dallas,existing,bing_suggest,5,pricing,31.0,,,,en,ai workshop dallas
