keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
corporate ai training,-1,800,informational,corporate-ai-training,/ai-training/,n/a,100-1k,root,0.6,pillar,corporate ai training,existing,root|google_autocomplete|bing_suggest,0,,100.0,,,,en,corporate ai training
corporate ai training courses,-1,300,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete|bing_suggest,1,,64.0,,,,en,corporate ai training
ai training for small business owners,-1,200,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for small business owners,existing,google_autocomplete|bing_suggest,0,for small business,53.0,,,,en,corporate ai training
corporate ai training uae,-1,170,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,2,,50.0,,,,en,corporate ai training
corporate ai training dubai uae,-1,170,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,2,,50.0,,,,en,corporate ai training
corporate ai training companies,-1,160,commercial,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,3,,48.0,,,,en,corporate ai training
corporate ai training toronto,-1,140,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,4,,46.0,,,,en,corporate ai training
ai training for corporate employees,-1,140,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,4,,46.0,,,,en,corporate ai training
corporate ai training singapore,-1,130,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,5,,44.0,,,,en,corporate ai training
ai training for corporate finance,-1,130,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,5,,44.0,,,,en,corporate ai training
ai corporate training videos,-1,120,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,6,,42.0,,,,en,corporate ai training
ai training near me,-1,110,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training near me,existing,bing_suggest,0,near me,41.0,,,,en,corporate ai training
ai corporate training,-1,110,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,0,how to,41.0,,,,en,corporate ai training
ai in corporate training,-1,110,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,0,free,41.0,,,,en,corporate ai training
free corporate trainings,-1,110,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.3,satellite,ai training for small business owners,existing,bing_suggest,0,free,41.0,,,,en,corporate ai training
ai business training free,-1,110,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,free,41.0,,,,en,corporate ai training
best ai business training,-1,110,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,best,41.0,,,,en,corporate ai training
free ai business training,-1,110,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,free,41.0,,,,en,corporate ai training
ai for corporate training,-1,110,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,0,pricing,41.0,,,,en,corporate ai training
ai training for clinicians,-1,110,informational,ai-training-for-clinicians,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for clinicians,existing,google_autocomplete,0,for clinic,41.0,,,,en,corporate ai training
best corporate ai training,-1,110,commercial,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,0,top,41.0,,,,en,corporate ai training
what is corporate training,-1,110,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.85,satellite,corporate ai training,existing,bing_suggest,0,what is,41.0,,,,en,corporate ai training
ai training for small business,-1,110,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,for small business,41.0,,,,en,corporate ai training
how to incorporate ai into training,-1,110,informational,how-to-incorporate-ai-into-training,/ai-training/,n/a,100-1k,heuristic,0.85,pillar,how to incorporate ai into training,existing,google_autocomplete,0,how to,41.0,,,,en,corporate ai training
ai corporate training jobs,-1,110,informational,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,7,,40.0,,,,en,corporate ai training
cost of ai training,-1,100,transactional,cost-of-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,cost of ai training,existing,bing_suggest,1,pricing,39.0,,,,en,corporate ai training
ai training companies,-1,100,commercial,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,1,software,39.0,,,,en,corporate ai training
ai training for business,-1,100,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,bing_suggest,1,for small business,39.0,,,,en,corporate ai training
best ai training companies,-1,100,commercial,corporate-ai-training,/ai-training/,n/a,100-1k,heuristic,0.85,satellite,corporate ai training,existing,bing_suggest,1,best,39.0,,,,en,corporate ai training
ai business training course,-1,100,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.85,satellite,ai training for small business owners,existing,google_autocomplete,1,course,39.0,,,,en,corporate ai training
ai training courses near me,-1,100,transactional,ai-training-near-me,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training near me,existing,bing_suggest,1,near me,39.0,,,,en,corporate ai training
ai training for clinical medicine,-1,100,informational,ai-training-for-clinical-medicine,/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai training for clinical medicine,existing,google_autocomplete,1,for clinic,39.0,,,,en,corporate ai training
free corporate training resources,-1,100,informational,ai-training-for-small-business-owners,/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai training for small business owners,existing,bing_suggest,1,free,39.0,,,,en,corporate ai training
ai corporate training program,-1,95,informational,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,8,,38.0,,,,en,corporate ai training
ai training costs,-1,90,transactional,ai-training-costs,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training costs,existing,google_autocomplete,2,free,37.0,,,,en,corporate ai training
ai training for corporates,-1,90,informational,ai-training-for-corporates,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training for corporates,existing,bing_suggest,2,pricing,37.0,,,,en,corporate ai training
ai training clinical research,-1,90,informational,ai-training-for-clinical-medicine,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for clinical medicine,existing,google_autocomplete,2,for clinic,37.0,,,,en,corporate ai training
top corporate training companies,-1,90,commercial,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.85,satellite,corporate ai training,existing,google_autocomplete,2,reviews,37.0,,,,en,corporate ai training
best companies for ai training jobs,-1,90,commercial,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.85,satellite,corporate ai training,existing,google_autocomplete,2,best,37.0,,,,en,corporate ai training
google's ai training for small businesses,-1,90,informational,google-s-ai-training-for-small-businesses,/ai-training/,n/a,10-100,heuristic,0.6,pillar,google's ai training for small businesses,existing,google_autocomplete,2,for small business,37.0,,,,en,corporate ai training
business ai training,-1,85,informational,ai-training-for-small-business-owners,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,9,,36.0,,,,en,corporate ai training
ai training for corporate employees in pune,-1,85,informational,ai-training-for-corporate-employees-in-pune,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training for corporate employees in pune,existing,bing_suggest,3,,36.0,,,,en,corporate ai training
the best ai training,-1,79,commercial,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.6,satellite,corporate ai training,existing,bing_suggest,3,best,35.0,,,,en,corporate ai training
best companies for ai training,-1,79,commercial,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.85,satellite,corporate ai training,existing,google_autocomplete,3,best,35.0,,,,en,corporate ai training
how much does ai training cost,-1,79,transactional,cost-of-ai-training,/ai-training/,n/a,10-100,heuristic,0.65,satellite,cost of ai training,existing,bing_suggest,3,pricing,35.0,,,,en,corporate ai training
free ai training for small business,-1,79,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,3,for small business,35.0,,,,en,corporate ai training
free ai training for small businesses,-1,79,informational,google-s-ai-training-for-small-businesses,/ai-training/,n/a,10-100,heuristic,0.6,satellite,google's ai training for small businesses,existing,bing_suggest,3,for small business,35.0,,,,en,corporate ai training
corporate training on ai,-1,75,informational,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,0,o,34.0,,,,en,corporate ai training
ai business analyst training,-1,75,informational,ai-training-for-small-business-owners,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,0,a,34.0,,,,en,corporate ai training
artificial intelligence corporate training institute,-1,75,informational,artificial-intelligence-corporate-training-insti,NEW /artificial-intelligence-corporate-training-insti/,n/a,10-100,heuristic,0.6,pillar,artificial intelligence corporate training institute,new,google_autocomplete,0,i,34.0,,,,en,corporate ai training
ai training in healthcare,-1,70,informational,ai-training-in-healthcare,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai training in healthcare,existing,bing_suggest,4,for clinic,33.0,,,,en,corporate ai training
ai online training reviews,-1,70,commercial,ai-online-training-reviews,/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai online training reviews,existing,bing_suggest,4,reviews,33.0,,,,en,corporate ai training
ai training near me online,-1,70,transactional,ai-training-near-me,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training near me,existing,bing_suggest,4,near me,33.0,,,,en,corporate ai training
ai training for employees free,-1,70,informational,ai-training-for-corporate-employees-in-pune,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for corporate employees in pune,existing,bing_suggest,4,free,33.0,,,,en,corporate ai training
list of corporate training courses,-1,70,informational,list-of-corporate-training-courses,NEW /list-of-corporate-training-courses/,n/a,10-100,heuristic,0.6,pillar,list of corporate training courses,new,google_autocomplete,4,free,33.0,,,,en,corporate ai training
ai employee training corporate case study,-1,70,informational,ai-employee-training-corporate-case-study,/case-studies/ai-man-jack/,n/a,10-100,heuristic,0.6,pillar,ai employee training corporate case study,existing,bing_suggest,4,how to,33.0,,,,en,corporate ai training
corporate training companies,-1,65,commercial,corporate-ai-training,/ai-training/,n/a,10-100,heuristic,0.6,satellite,corporate ai training,existing,google_autocomplete,1,c,32.0,,,,en,corporate ai training
small business ai training act,-1,65,informational,ai-training-for-small-business-owners,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for small business owners,existing,google_autocomplete,1,a,32.0,,,,en,corporate ai training
ai business intelligence training,-1,65,informational,artificial-intelligence-corporate-training-insti,/ai-training/,n/a,10-100,heuristic,0.6,satellite,artificial intelligence corporate training institute,existing,google_autocomplete,1,i,32.0,,,,en,corporate ai training
free ai software training,-1,61,commercial,ai-training-for-small-business-owners,/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai training for small business owners,existing,bing_suggest,5,software,31.0,,,,en,corporate ai training
