keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
ai 工作流,-1,300,commercial,ai,/zh/ai-training/,n/a,100-1k,root,0.3,pillar,ai 工作流,existing,root|google_autocomplete|bing_suggest|baidu_suggest,0,,100.0,,,,zh,ai 工作流
ai工作流软件,-1,170,commercial,ai-ruanjian,/zh/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai工作流软件,existing,google_autocomplete|bing_suggest|baidu_suggest,0,,78.0,,,,zh,ai 工作流
ai工作流是什么,-1,170,informational,ai-shi-shenme,/zh/about/,n/a,100-1k,heuristic,0.6,pillar,ai工作流是什么,existing,google_autocomplete|bing_suggest|baidu_suggest,0,,78.0,,,,zh,ai 工作流
ai工作流程,-1,160,informational,ai,/zh/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai 工作流,existing,google_autocomplete|bing_suggest|baidu_suggest,1,,76.0,,,,zh,ai 工作流
ai工作流搭建,-1,160,transactional,ai-dajian,/zh/about/,n/a,100-1k,heuristic,0.6,pillar,ai工作流搭建,existing,google_autocomplete|bing_suggest|baidu_suggest,1,,76.0,,,,zh,ai 工作流
ai工作流平台,-1,160,commercial,ai-2,/zh/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai工作流平台,existing,google_autocomplete|bing_suggest|baidu_suggest,1,,76.0,,,,zh,ai 工作流
ai 工作 流 工具,-1,160,commercial,ai-gongju,/zh/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai 工作 流 工具,existing,google_autocomplete|bing_suggest|baidu_suggest,1,,76.0,,,,zh,ai 工作流
ai工作流网站,-1,140,commercial,ai-3,/zh/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai工作流网站,existing,google_autocomplete|bing_suggest|baidu_suggest,4,,70.0,,,,zh,ai 工作流
ai工作流课程,-1,120,informational,ai-kecheng,/zh/ai-training/,n/a,100-1k,heuristic,0.6,pillar,ai工作流课程,existing,google_autocomplete|baidu_suggest,0,,66.0,,,,zh,ai 工作流
什么是ai工作流,-1,120,informational,shenme-shi-ai,/zh/about/,n/a,100-1k,heuristic,0.6,pillar,什么是ai工作流,existing,google_autocomplete|bing_suggest|baidu_suggest,0,什么是,65.0,,,,zh,ai 工作流
ai 工作 流 推荐,-1,120,commercial,ai-gongju,/zh/ai-training/,n/a,100-1k,heuristic,0.6,satellite,ai 工作 流 工具,existing,google_autocomplete|bing_suggest|baidu_suggest,0,推荐,65.0,,,,zh,ai 工作流
ai工作流框架,-1,100,commercial,ai-4,/zh/ai-training/,n/a,100-1k,heuristic,0.3,pillar,ai工作流框架,existing,google_autocomplete|baidu_suggest,2,,62.0,,,,zh,ai 工作流
ai 工作流 改名,-1,77,commercial,ai-5,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流 改名,existing,baidu_suggest,0,,54.0,,,,zh,ai 工作流
ai工作流是什么意思,-1,77,informational,ai-shi-shenme,/zh/about/,n/a,10-100,heuristic,0.85,satellite,ai工作流是什么,existing,bing_suggest|baidu_suggest,6,,54.0,,,,zh,ai 工作流
ai工作流平台有哪些,-1,77,commercial,ai-2,/zh/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai工作流平台,existing,bing_suggest|baidu_suggest,6,,54.0,,,,zh,ai 工作流
ai工作流怎么用,-1,74,informational,ai-zenme-yong,/zh/ai-training/,n/a,10-100,heuristic,0.6,pillar,ai工作流怎么用,existing,bing_suggest|baidu_suggest,0,怎么用,53.0,,,,zh,ai 工作流
ai 工作流 技术栈,-1,71,commercial,ai-6,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流 技术栈,existing,baidu_suggest,1,,52.0,,,,zh,ai 工作流
ai工作流软件哪个好,-1,68,commercial,ai-ruanjian,/zh/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai工作流软件,existing,bing_suggest|baidu_suggest,1,软件,51.0,,,,zh,ai 工作流
ai 工作流 培训,-1,60,informational,ai,/zh/ai-training/,n/a,10-100,heuristic,0.6,satellite,ai 工作流,existing,baidu_suggest,3,,48.0,,,,zh,ai 工作流
ai 工作流编排,-1,54,commercial,ai-7,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流编排,existing,google_autocomplete|baidu_suggest,0,b,46.0,,,,zh,ai 工作流
ai 工作流 英文,-1,54,commercial,ai-8,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流 英文,existing,google_autocomplete|baidu_suggest,0,e,46.0,,,,zh,ai 工作流
ai 工作流 n8n,-1,54,commercial,ai-n8n,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流 n8n,existing,google_autocomplete|baidu_suggest,0,n,46.0,,,,zh,ai 工作流
ai 工作流diff,-1,49,commercial,ai-diff,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai 工作流diff,existing,baidu_suggest,5,,44.0,,,,zh,ai 工作流
ai 工作 流 github,-1,44,commercial,ai-gongju,/zh/ai-training/,n/a,10-100,heuristic,0.3,satellite,ai 工作 流 工具,existing,google_autocomplete,6,,42.0,,,,zh,ai 工作流
AI工作小流,-1,42,commercial,ai-9,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,AI工作小流,existing,baidu_suggest,0,小企业,41.0,,,,zh,ai 工作流
扣子工作流费用,-1,42,transactional,feiyong,NEW /zh/feiyong/,n/a,10-100,heuristic,0.6,pillar,扣子工作流费用,new,bing_suggest,0,费用,41.0,,,,zh,ai 工作流
ai工作流系统,-1,42,commercial,ai-xitong,/zh/ai-training/,n/a,10-100,heuristic,0.3,pillar,ai工作流系统,existing,bing_suggest,0,系统,41.0,,,,zh,ai 工作流
