keyword,KD,vol,intent,cluster_slug,target_url,kd_label,vol_band,vol_source,intent_confidence,role,cluster_name,target_status,sources,best_rank,modifier,demand,serp_top_domains,serp_features,ugc_count,lang,root
企业 ai 培训,-1,480,informational,qiye-ai-peixun,/zh/ai-training/,n/a,100-1k,root,0.6,pillar,企业 ai 培训,existing,root|google_autocomplete|bing_suggest|baidu_suggest,0,,100.0,,,,zh,企业 ai 培训
企业ai培训ppt,-1,180,informational,qiye-ai-peixun,/zh/ai-training/,n/a,100-1k,heuristic,0.6,satellite,企业 ai 培训,existing,bing_suggest|baidu_suggest,1,,64.0,,,,zh,企业 ai 培训
企业ai培训公司,-1,140,informational,qiye-ai-peixun-gongsi,/zh/ai-training/,n/a,100-1k,heuristic,0.6,pillar,企业ai培训公司,existing,bing_suggest|baidu_suggest,4,,58.0,,,,zh,企业 ai 培训
企业ai培训课程,-1,110,informational,qiye-ai-peixun-kecheng,/zh/ai-training/,n/a,100-1k,heuristic,0.85,pillar,企业ai培训课程,existing,bing_suggest,1,,52.0,,,,zh,企业 ai 培训
企业ai培训师,-1,100,informational,qiye-ai-peixun-2,/zh/ai-training/,n/a,100-1k,heuristic,0.6,pillar,企业ai培训师,existing,bing_suggest,2,,50.0,,,,zh,企业 ai 培训
企业ai培训应用,-1,100,informational,qiye-ai-peixun-yingyong,/zh/ai-training/,n/a,100-1k,heuristic,0.85,pillar,企业ai培训应用,existing,baidu_suggest,2,,50.0,,,,zh,企业 ai 培训
企业ai培训讲师,-1,95,informational,qiye-ai-peixun-3,/zh/ai-training/,n/a,10-100,heuristic,0.6,pillar,企业ai培训讲师,existing,bing_suggest,3,,48.0,,,,zh,企业 ai 培训
企业ai培训材料,-1,95,informational,qiye-ai-peixun-4,/zh/ai-training/,n/a,10-100,heuristic,0.6,pillar,企业ai培训材料,existing,baidu_suggest,3,,48.0,,,,zh,企业 ai 培训
企业ai培训 全员办公类,-1,87,informational,qiye-ai-peixun-5,/zh/ai-training/,n/a,10-100,heuristic,0.6,pillar,企业ai培训 全员办公类,existing,baidu_suggest,4,,46.0,,,,zh,企业 ai 培训
企业ai培训是什么,-1,79,informational,qiye-ai-peixun-shi-shenme,/zh/about/,n/a,10-100,heuristic,0.85,pillar,企业ai培训是什么,existing,baidu_suggest,5,,44.0,,,,zh,企业 ai 培训
企业培训平台,-1,71,informational,qiye-peixun,NEW /zh/qiye-peixun/,n/a,10-100,heuristic,0.6,pillar,企业培训平台,new,bing_suggest,6,,42.0,,,,zh,企业 ai 培训
